"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - memory_usage","raschka_cpu_Seed45887 - memory_usage__MIN","raschka_cpu_Seed45887 - memory_usage__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - memory_usage","karpathy_cpu_Seed45887 - memory_usage__MIN","karpathy_cpu_Seed45887 - memory_usage__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - memory_usage","raschka_cpu_Seed5678 - memory_usage__MIN","raschka_cpu_Seed5678 - memory_usage__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - memory_usage","karpathy_cpu_Seed5678 - memory_usage__MIN","karpathy_cpu_Seed5678 - memory_usage__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - memory_usage","karpathy_cpu_Seed123 - memory_usage__MIN","karpathy_cpu_Seed123 - memory_usage__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - memory_usage","raschka_cpu_Seed123 - memory_usage__MIN","raschka_cpu_Seed123 - memory_usage__MAX"
"6800","34","34","34","6017.95703125","6017.95703125","6017.95703125","69","69","69","3187.23046875","3187.23046875","3187.23046875","34","34","34","5443.99609375","5443.99609375","5443.99609375","69","69","69","3190.6953125","3190.6953125","3190.6953125","69","69","69","3198.8828125","3198.8828125","3198.8828125","34","34","34","5822.9765625","5822.9765625","5822.9765625"
"7000","35","35","35","5753.82421875","5753.82421875","5753.82421875","71","71","71","3193.22265625","3193.22265625","3193.22265625","35","35","35","5422.21484375","5422.21484375","5422.21484375","71","71","71","3189.6953125","3189.6953125","3189.6953125","71","71","71","3198.8828125","3198.8828125","3198.8828125","35","35","35","5702.33984375","5702.33984375","5702.33984375"
"7200","36","36","36","5761.73828125","5761.73828125","5761.73828125","73","73","73","3187.23046875","3187.23046875","3187.23046875","36","36","36","5568.94921875","5568.94921875","5568.94921875","73","73","73","3192.69140625","3192.69140625","3192.69140625","73","73","73","3198.8828125","3198.8828125","3198.8828125","36","36","36","5868.58203125","5868.58203125","5868.58203125"
"7400","37","37","37","5646.57421875","5646.57421875","5646.57421875","75","75","75","3190.2265625","3190.2265625","3190.2265625","37","37","37","5568.3671875","5568.3671875","5568.3671875","75","75","75","3192.69140625","3192.69140625","3192.69140625","75","75","75","3198.8828125","3198.8828125","3198.8828125","37","37","37","5697.234375","5697.234375","5697.234375"
"7600","38","38","38","5994.8359375","5994.8359375","5994.8359375","77","77","77","3187.23046875","3187.23046875","3187.23046875","38","38","38","5462.0703125","5462.0703125","5462.0703125","77","77","77","3186.69921875","3186.69921875","3186.69921875","77","77","77","3198.8828125","3198.8828125","3198.8828125","38","38","38","6011.109375","6011.109375","6011.109375"
"7800","39","39","39","5730.30859375","5730.30859375","5730.30859375","79","79","79","3193.22265625","3193.22265625","3193.22265625","39","39","39","5565.3359375","5565.3359375","5565.3359375","79","79","79","3192.69140625","3192.69140625","3192.69140625","79","79","79","3198.8828125","3198.8828125","3198.8828125","39","39","39","5683.55859375","5683.55859375","5683.55859375"
"8000","40","40","40","5732.85546875","5732.85546875","5732.85546875","81","81","81","3190.2265625","3190.2265625","3190.2265625","40","40","40","5436.8671875","5436.8671875","5436.8671875","81","81","81","3192.69140625","3192.69140625","3192.69140625","81","81","81","3198.9140625","3198.9140625","3198.9140625","40","40","40","5695.34375","5695.34375","5695.34375"
"8200","41","41","41","5970.57421875","5970.57421875","5970.57421875","83","83","83","3193.22265625","3193.22265625","3193.22265625","41","41","41","5374.390625","5374.390625","5374.390625","83","83","83","3189.6953125","3189.6953125","3189.6953125","83","83","83","3198.9140625","3198.9140625","3198.9140625","41","41","41","5998.90234375","5998.90234375","5998.90234375"
"8400","42","42","42","5741.7265625","5741.7265625","5741.7265625","85","85","85","3190.2265625","3190.2265625","3190.2265625","42","42","42","5451.12890625","5451.12890625","5451.12890625","85","85","85","3186.69921875","3186.69921875","3186.69921875","85","85","85","3199.9140625","3199.9140625","3199.9140625","42","42","42","5675.55859375","5675.55859375","5675.55859375"
"8497","","","","","","","87","87","87","3200.0078125","3200.0078125","3200.0078125","","","","","","","87","87","87","3199.4296875","3199.4296875","3199.4296875","87","87","87","3208.203125","3208.203125","3208.203125","","","","","",""
