"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - time_per_step_ms","raschka_cpu_Seed45887 - time_per_step_ms__MIN","raschka_cpu_Seed45887 - time_per_step_ms__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - time_per_step_ms","karpathy_cpu_Seed45887 - time_per_step_ms__MIN","karpathy_cpu_Seed45887 - time_per_step_ms__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - time_per_step_ms","raschka_cpu_Seed5678 - time_per_step_ms__MIN","raschka_cpu_Seed5678 - time_per_step_ms__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - time_per_step_ms","karpathy_cpu_Seed5678 - time_per_step_ms__MIN","karpathy_cpu_Seed5678 - time_per_step_ms__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - time_per_step_ms","karpathy_cpu_Seed123 - time_per_step_ms__MIN","karpathy_cpu_Seed123 - time_per_step_ms__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - time_per_step_ms","raschka_cpu_Seed123 - time_per_step_ms__MIN","raschka_cpu_Seed123 - time_per_step_ms__MAX"
"6600","33","33","33","6748.930215835571","6748.930215835571","6748.930215835571","67","67","67","14603.077173233032","14603.077173233032","14603.077173233032","33","33","33","2900.2485275268555","2900.2485275268555","2900.2485275268555","67","67","67","14531.082391738892","14531.082391738892","14531.082391738892","67","67","67","14810.71662902832","14810.71662902832","14810.71662902832","33","33","33","3025.981903076172","3025.981903076172","3025.981903076172"
"6800","34","34","34","4302.362680435181","4302.362680435181","4302.362680435181","69","69","69","14583.500623703003","14583.500623703003","14583.500623703003","34","34","34","3058.762550354004","3058.762550354004","3058.762550354004","69","69","69","14956.722974777222","14956.722974777222","14956.722974777222","69","69","69","14586.891412734985","14586.891412734985","14586.891412734985","34","34","34","3679.6770095825195","3679.6770095825195","3679.6770095825195"
"7000","35","35","35","3528.002977371216","3528.002977371216","3528.002977371216","71","71","71","14558.979749679565","14558.979749679565","14558.979749679565","35","35","35","2784.0006351470947","2784.0006351470947","2784.0006351470947","71","71","71","14734.966039657593","14734.966039657593","14734.966039657593","71","71","71","14902.594804763794","14902.594804763794","14902.594804763794","35","35","35","3420.806646347046","3420.806646347046","3420.806646347046"
"7200","36","36","36","3508.404016494751","3508.404016494751","3508.404016494751","73","73","73","14768.13817024231","14768.13817024231","14768.13817024231","36","36","36","3926.1181354522705","3926.1181354522705","3926.1181354522705","73","73","73","14483.854532241821","14483.854532241821","14483.854532241821","73","73","73","14760.026216506958","14760.026216506958","14760.026216506958","36","36","36","4235.038757324219","4235.038757324219","4235.038757324219"
"7400","37","37","37","2576.763153076172","2576.763153076172","2576.763153076172","75","75","75","14588.17744255066","14588.17744255066","14588.17744255066","37","37","37","3991.3899898529053","3991.3899898529053","3991.3899898529053","75","75","75","14600.244522094727","14600.244522094727","14600.244522094727","75","75","75","14538.753747940063","14538.753747940063","14538.753747940063","37","37","37","3344.4747924804688","3344.4747924804688","3344.4747924804688"
"7600","38","38","38","7940.465927124023","7940.465927124023","7940.465927124023","77","77","77","14585.767030715942","14585.767030715942","14585.767030715942","38","38","38","3162.8634929656982","3162.8634929656982","3162.8634929656982","77","77","77","14644.606828689575","14644.606828689575","14644.606828689575","77","77","77","14733.572006225586","14733.572006225586","14733.572006225586","38","38","38","7092.902183532715","7092.902183532715","7092.902183532715"
"7800","39","39","39","2961.529016494751","2961.529016494751","2961.529016494751","79","79","79","14513.544797897339","14513.544797897339","14513.544797897339","39","39","39","4000.2522468566895","4000.2522468566895","4000.2522468566895","79","79","79","14742.1555519104","14742.1555519104","14742.1555519104","79","79","79","15118.83568763733","15118.83568763733","15118.83568763733","39","39","39","3180.4347038269043","3180.4347038269043","3180.4347038269043"
"8000","40","40","40","3482.745409011841","3482.745409011841","3482.745409011841","81","81","81","14639.43600654602","14639.43600654602","14639.43600654602","40","40","40","2970.649480819702","2970.649480819702","2970.649480819702","81","81","81","14583.405256271362","14583.405256271362","14583.405256271362","81","81","81","14709.399223327637","14709.399223327637","14709.399223327637","40","40","40","3297.616958618164","3297.616958618164","3297.616958618164"
"8200","41","41","41","3912.2843742370605","3912.2843742370605","3912.2843742370605","83","83","83","14664.727926254272","14664.727926254272","14664.727926254272","41","41","41","2648.9596366882324","2648.9596366882324","2648.9596366882324","83","83","83","14698.704481124878","14698.704481124878","14698.704481124878","83","83","83","14755.259037017822","14755.259037017822","14755.259037017822","41","41","41","6836.166858673096","6836.166858673096","6836.166858673096"
"8400","42","42","42","3218.075752258301","3218.075752258301","3218.075752258301","85","85","85","14520.662069320679","14520.662069320679","14520.662069320679","42","42","42","3225.7156372070312","3225.7156372070312","3225.7156372070312","85","85","85","14619.510889053345","14619.510889053345","14619.510889053345","85","85","85","14711.03572845459","14711.03572845459","14711.03572845459","42","42","42","3610.187530517578","3610.187530517578","3610.187530517578"
"8497","","","","","","","87","87","87","28627.283573150635","28627.283573150635","28627.283573150635","","","","","","","87","87","87","28353.00350189209","28353.00350189209","28353.00350189209","87","87","87","28388.20242881775","28388.20242881775","28388.20242881775","","","","","",""
