"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - learning_rate","raschka_cpu_Seed45887 - learning_rate__MIN","raschka_cpu_Seed45887 - learning_rate__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - learning_rate","karpathy_cpu_Seed45887 - learning_rate__MIN","karpathy_cpu_Seed45887 - learning_rate__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - learning_rate","raschka_cpu_Seed5678 - learning_rate__MIN","raschka_cpu_Seed5678 - learning_rate__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - learning_rate","karpathy_cpu_Seed5678 - learning_rate__MIN","karpathy_cpu_Seed5678 - learning_rate__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - learning_rate","karpathy_cpu_Seed123 - learning_rate__MIN","karpathy_cpu_Seed123 - learning_rate__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - learning_rate","raschka_cpu_Seed123 - learning_rate__MIN","raschka_cpu_Seed123 - learning_rate__MAX"
"6400","32","32","32","0.000013147502893046041","0.000013147502893046041","0.000013147502893046041","65","65","65","0.000013147502893046041","0.000013147502893046041","0.000013147502893046041","32","32","32","0.000012755542166644383","0.000012755542166644383","0.000012755542166644383","65","65","65","0.000012755542166644383","0.000012755542166644383","0.000012755542166644383","65","65","65","0.000012755542166644383","0.000012755542166644383","0.000012755542166644383","32","32","32","0.000012755542166644383","0.000012755542166644383","0.000012755542166644383"
"6600","33","33","33","0.000011747519510471544","0.000011747519510471544","0.000011747519510471544","67","67","67","0.000011747519510471544","0.000011747519510471544","0.000011747519510471544","33","33","33","0.00001141896901989393","0.00001141896901989393","0.00001141896901989393","67","67","67","0.00001141896901989393","0.00001141896901989393","0.00001141896901989393","67","67","67","0.00001141896901989393","0.00001141896901989393","0.00001141896901989393","33","33","33","0.00001141896901989393","0.00001141896901989393","0.00001141896901989393"
"6800","34","34","34","0.000010458087378711651","0.000010458087378711651","0.000010458087378711651","69","69","69","0.000010458087378711651","0.000010458087378711651","0.000010458087378711651","34","34","34","0.000010189468064964144","0.000010189468064964144","0.000010189468064964144","69","69","69","0.000010189468064964144","0.000010189468064964144","0.000010189468064964144","69","69","69","0.000010189468064964144","0.000010189468064964144","0.000010189468064964144","34","34","34","0.000010189468064964144","0.000010189468064964144","0.000010189468064964144"
"7000","35","35","35","0.000009288255760522246","0.000009288255760522246","0.000009288255760522246","71","71","71","0.000009288255760522246","0.000009288255760522246","0.000009288255760522246","35","35","35","0.000009075225677607512","0.000009075225677607512","0.000009075225677607512","71","71","71","0.000009075225677607512","0.000009075225677607512","0.000009075225677607512","71","71","71","0.000009075225677607512","0.000009075225677607512","0.000009075225677607512","35","35","35","0.000009075225677607512","0.000009075225677607512","0.000009075225677607512"
"7200","36","36","36","0.000008246234559652724","0.000008246234559652724","0.000008246234559652724","73","73","73","0.000008246234559652724","0.000008246234559652724","0.000008246234559652724","36","36","36","0.000008083660808436152","0.000008083660808436152","0.000008083660808436152","73","73","73","0.000008083660808436152","0.000008083660808436152","0.000008083660808436152","73","73","73","0.000008083660808436152","0.000008083660808436152","0.000008083660808436152","36","36","36","0.000008083660808436152","0.000008083660808436152","0.000008083660808436152"
"7400","37","37","37","0.0000073393367035628644","0.0000073393367035628644","0.0000073393367035628644","75","75","75","0.0000073393367035628644","0.0000073393367035628644","0.0000073393367035628644","37","37","37","0.000007221375585386152","0.000007221375585386152","0.000007221375585386152","75","75","75","0.000007221375585386152","0.000007221375585386152","0.000007221375585386152","75","75","75","0.000007221375585386152","0.000007221375585386152","0.000007221375585386152","37","37","37","0.000007221375585386152","0.000007221375585386152","0.000007221375585386152"
"7600","38","38","38","0.000006573926821138785","0.000006573926821138785","0.000006573926821138785","77","77","77","0.000006573926821138785","0.000006573926821138785","0.000006573926821138785","38","38","38","0.000006494111354825209","0.000006494111354825209","0.000006494111354825209","77","77","77","0.000006494111354825209","0.000006494111354825209","0.000006494111354825209","77","77","77","0.000006494111354825209","0.000006494111354825209","0.000006494111354825209","38","38","38","0.000006494111354825209","0.000006494111354825209","0.000006494111354825209"
"7800","39","39","39","0.0000059553765755889785","0.0000059553765755889785","0.0000059553765755889785","79","79","79","0.0000059553765755889785","0.0000059553765755889785","0.0000059553765755889785","39","39","39","0.000005906710453994962","0.000005906710453994962","0.000005906710453994962","79","79","79","0.000005906710453994962","0.000005906710453994962","0.000005906710453994962","79","79","79","0.000005906710453994962","0.000005906710453994962","0.000005906710453994962","39","39","39","0.000005906710453994962","0.000005906710453994962","0.000005906710453994962"
"8000","40","40","40","0.000005488026965994982","0.000005488026965994982","0.000005488026965994982","81","81","81","0.000005488026965994982","0.000005488026965994982","0.000005488026965994982","40","40","40","0.000005463083969318115","0.000005463083969318115","0.000005463083969318115","81","81","81","0.000005463083969318115","0.000005463083969318115","0.000005463083969318115","81","81","81","0.000005463083969318115","0.000005463083969318115","0.000005463083969318115","40","40","40","0.000005463083969318115","0.000005463083969318115","0.000005463083969318115"
"8200","41","41","41","0.000005175157862085429","0.000005175157862085429","0.000005175157862085429","83","83","83","0.000005175157862085429","0.000005175157862085429","0.000005175157862085429","41","41","41","0.000005166185695244962","0.000005166185695244962","0.000005166185695244962","83","83","83","0.000005166185695244962","0.000005166185695244962","0.000005166185695244962","83","83","83","0.000005166185695244962","0.000005166185695244962","0.000005166185695244962","41","41","41","0.000005166185695244962","0.000005166185695244962","0.000005166185695244962"
"8400","42","42","42","0.000005018964986038889","0.000005018964986038889","0.000005018964986038889","85","85","85","0.000005018964986038889","0.000005018964986038889","0.000005018964986038889","42","42","42","0.000005017992467028924","0.000005017992467028924","0.000005017992467028924","85","85","85","0.000005017992467028924","0.000005017992467028924","0.000005017992467028924","85","85","85","0.000005017992467028924","0.000005017992467028924","0.000005017992467028924","42","42","42","0.000005017992467028924","0.000005017992467028924","0.000005017992467028924"
"8497","","","","","","","87","87","87","0.00000500000197497403","0.00000500000197497403","0.00000500000197497403","","","","","","","87","87","87","0.000005000001873684433","0.000005000001873684433","0.000005000001873684433","87","87","87","0.000005000001873684433","0.000005000001873684433","0.000005000001873684433","","","","","",""
