"step","raschka_cpu_Seed45887 - _step","raschka_cpu_Seed45887 - _step__MIN","raschka_cpu_Seed45887 - _step__MAX","raschka_cpu_Seed45887 - throughput","raschka_cpu_Seed45887 - throughput__MIN","raschka_cpu_Seed45887 - throughput__MAX","karpathy_cpu_Seed45887 - _step","karpathy_cpu_Seed45887 - _step__MIN","karpathy_cpu_Seed45887 - _step__MAX","karpathy_cpu_Seed45887 - throughput","karpathy_cpu_Seed45887 - throughput__MIN","karpathy_cpu_Seed45887 - throughput__MAX","raschka_cpu_Seed5678 - _step","raschka_cpu_Seed5678 - _step__MIN","raschka_cpu_Seed5678 - _step__MAX","raschka_cpu_Seed5678 - throughput","raschka_cpu_Seed5678 - throughput__MIN","raschka_cpu_Seed5678 - throughput__MAX","karpathy_cpu_Seed5678 - _step","karpathy_cpu_Seed5678 - _step__MIN","karpathy_cpu_Seed5678 - _step__MAX","karpathy_cpu_Seed5678 - throughput","karpathy_cpu_Seed5678 - throughput__MIN","karpathy_cpu_Seed5678 - throughput__MAX","karpathy_cpu_Seed123 - _step","karpathy_cpu_Seed123 - _step__MIN","karpathy_cpu_Seed123 - _step__MAX","karpathy_cpu_Seed123 - throughput","karpathy_cpu_Seed123 - throughput__MIN","karpathy_cpu_Seed123 - throughput__MAX","raschka_cpu_Seed123 - _step","raschka_cpu_Seed123 - _step__MIN","raschka_cpu_Seed123 - _step__MAX","raschka_cpu_Seed123 - throughput","raschka_cpu_Seed123 - throughput__MIN","raschka_cpu_Seed123 - throughput__MAX"
"6600","33","33","33","261.3747577150793","261.3747577150793","261.3747577150793","67","67","67","140.24441394817237","140.24441394817237","140.24441394817237","33","33","33","253.77135545953135","253.77135545953135","253.77135545953135","67","67","67","140.93926004881195","140.93926004881195","140.93926004881195","67","67","67","138.2782515726494","138.2782515726494","138.2782515726494","33","33","33","261.7332242452817","261.7332242452817","261.7332242452817"
"6800","34","34","34","277.05707039078123","277.05707039078123","277.05707039078123","69","69","69","140.43267476337772","140.43267476337772","140.43267476337772","34","34","34","256.3128020216098","256.3128020216098","256.3128020216098","69","69","69","136.92839022650313","136.92839022650313","136.92839022650313","69","69","69","140.4000305515408","140.4000305515408","140.4000305515408","34","34","34","270.6759309054144","270.6759309054144","270.6759309054144"
"7000","35","35","35","263.0383267679301","263.0383267679301","263.0383267679301","71","71","71","140.66919765068533","140.66919765068533","140.66919765068533","35","35","35","251.43672424593933","251.43672424593933","251.43672424593933","71","71","71","138.98912250547616","138.98912250547616","138.98912250547616","71","71","71","137.42573201717408","137.42573201717408","137.42573201717408","35","35","35","265.43447024976405","265.43447024976405","265.43447024976405"
"7200","36","36","36","266.78797413279625","266.78797413279625","266.78797413279625","73","73","73","138.67692571611397","138.67692571611397","138.67692571611397","36","36","36","267.94914562060535","267.94914562060535","267.94914562060535","73","73","73","141.39882414871292","141.39882414871292","141.39882414871292","73","73","73","138.75314108247366","138.75314108247366","138.75314108247366","36","36","36","273.90540357956746","273.90540357956746","273.90540357956746"
"7400","37","37","37","248.37362302234106","248.37362302234106","248.37362302234106","75","75","75","140.38765349990965","140.38765349990965","140.38765349990965","37","37","37","264.56948649082443","264.56948649082443","264.56948649082443","75","75","75","140.27162332115307","140.27162332115307","140.27162332115307","75","75","75","140.8648936151197","140.8648936151197","140.8648936151197","37","37","37","266.70854329819537","266.70854329819537","266.70854329819537"
"7600","38","38","38","257.919373849863","257.919373849863","257.919373849863","77","77","77","140.41085365528932","140.41085365528932","140.41085365528932","38","38","38","256.7293851934843","256.7293851934843","256.7293851934843","77","77","77","139.84670424800052","139.84670424800052","139.84670424800052","77","77","77","139.00227311711168","139.00227311711168","139.00227311711168","38","38","38","259.9782081136175","259.9782081136175","259.9782081136175"
"7800","39","39","39","263.3774633493896","263.3774633493896","263.3774633493896","79","79","79","141.10956547959984","141.10956547959984","141.10956547959984","39","39","39","262.98341581499983","262.98341581499983","262.98341581499983","79","79","79","138.92133974496048","138.92133974496048","138.92133974496048","79","79","79","135.4601665308559","135.4601665308559","135.4601665308559","39","39","39","265.3725287881071","265.3725287881071","265.3725287881071"
"8000","40","40","40","248.0801490009408","248.0801490009408","248.0801490009408","81","81","81","139.89609975987034","139.89609975987034","139.89609975987034","40","40","40","243.7177474739376","243.7177474739376","243.7177474739376","81","81","81","140.4335931156607","140.4335931156607","140.4335931156607","81","81","81","139.2307033690456","139.2307033690456","139.2307033690456","40","40","40","269.28536914490763","269.28536914490763","269.28536914490763"
"8200","41","41","41","268.8966085715975","268.8966085715975","268.8966085715975","83","83","83","139.65482416714082","139.65482416714082","139.65482416714082","41","41","41","243.11431215506857","243.11431215506857","243.11431215506857","83","83","83","139.33200729560272","139.33200729560272","139.33200729560272","83","83","83","138.79796992123292","138.79796992123292","138.79796992123292","41","41","41","261.5500816413735","261.5500816413735","261.5500816413735"
"8400","42","42","42","263.51150976011417","263.51150976011417","263.51150976011417","85","85","85","141.04040092820725","141.04040092820725","141.04040092820725","42","42","42","259.16729619844796","259.16729619844796","259.16729619844796","85","85","85","140.08676593506843","140.08676593506843","140.08676593506843","85","85","85","139.21521487699798","139.21521487699798","139.21521487699798","42","42","42","270.3460669978201","270.3460669978201","270.3460669978201"
"8497","","","","","","","87","87","87","71.54014437893812","71.54014437893812","71.54014437893812","","","","","","","87","87","87","72.23220636442733","72.23220636442733","72.23220636442733","87","87","87","72.14264464737687","72.14264464737687","72.14264464737687","","","","","",""
