"Relative Time (Process)","raschka_gpu_45887 - system/cpu","raschka_gpu_45887 - system/cpu__MIN","raschka_gpu_45887 - system/cpu__MAX","raschka_gpu_5678 - system/cpu","raschka_gpu_5678 - system/cpu__MIN","raschka_gpu_5678 - system/cpu__MAX","raschka_gpu_123 - system/cpu","raschka_gpu_123 - system/cpu__MIN","raschka_gpu_123 - system/cpu__MAX","karpathy_gpu_45887 - system/cpu","karpathy_gpu_45887 - system/cpu__MIN","karpathy_gpu_45887 - system/cpu__MAX","karpathy_gpu_5678 - system/cpu","karpathy_gpu_5678 - system/cpu__MIN","karpathy_gpu_5678 - system/cpu__MAX","karpathy_gpu_123 - system/cpu","karpathy_gpu_123 - system/cpu__MIN","karpathy_gpu_123 - system/cpu__MAX"
"630.285962405","3.3930131612509546","3.3930131612509546","3.3930131612509546","","","","","","","","","","","","","","",""
"630.332725859","","","","","","","3.393759392652761","3.393759392652761","3.393759392652761","","","","","","","","",""
"630.350768549","","","","3.4026427583903693","3.4026427583903693","3.4026427583903693","","","","","","","","","","","",""
"645.286213725","3.3938179600584792","3.3938179600584792","3.3938179600584792","","","","","","","","","","","","","","",""
"645.332822789","","","","","","","3.3940991046749276","3.3940991046749276","3.3940991046749276","","","","","","","","",""
"645.350437593","","","","3.4028845439624402","3.4028845439624402","3.4028845439624402","","","","","","","","","","","",""
"660.286412509","3.3924879382796003","3.3924879382796003","3.3924879382796003","","","","","","","","","","","","","","",""
"660.332284973","","","","","","","3.392766085974685","3.392766085974685","3.392766085974685","","","","","","","","",""
"660.350535646","","","","3.4013556610146924","3.4013556610146924","3.4013556610146924","","","","","","","","","","","",""
"675.286660784","3.391214868989694","3.391214868989694","3.391214868989694","","","","","","","","","","","","","","",""
"675.332773754","","","","","","","3.3915332989977856","3.3915332989977856","3.3915332989977856","","","","","","","","",""
"675.350806883","","","","3.3999400895457295","3.3999400895457295","3.3999400895457295","","","","","","","","","","","",""
"690.286030769","3.3900461115627034","3.3900461115627034","3.3900461115627034","","","","","","","","","","","","","","",""
"690.332260689","","","","","","","3.3897956996742717","3.3897956996742717","3.3897956996742717","","","","","","","","",""
"690.350102967","","","","3.3985405534790236","3.3985405534790236","3.3985405534790236","","","","","","","","","","","",""
"705.285892685","3.39107642821538","3.39107642821538","3.39107642821538","","","","","","","","","","","","","","",""
"705.333145749","","","","","","","3.390139382927288","3.390139382927288","3.390139382927288","","","","","","","","",""
"705.350851157","","","","3.3993005434214583","3.3993005434214583","3.3993005434214583","","","","","","","","","","","",""
"720.285963146","3.389909668034776","3.389909668034776","3.389909668034776","","","","","","","","","","","","","","",""
"720.332414559","","","","","","","3.389039979358384","3.389039979358384","3.389039979358384","","","","","","","","",""
"720.350453258","","","","3.3979696717771812","3.3979696717771812","3.3979696717771812","","","","","","","","","","","",""
"735.285993206","3.3888333483651625","3.3888333483651625","3.3888333483651625","","","","","","","","","","","","","","",""
"735.33214402","","","","","","","3.3879380220852773","3.3879380220852773","3.3879380220852773","","","","","","","","",""
